KEY,FREQ,REF_AREA,ADJUSTMENT,FVC_REP_SECTOR,FVC_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,FVC_ORI_SECTOR,CURRENCY_TRANS,BS_SUFFIX
FVC.Q.IE.N.T.A10.K.4.U5.2271.ZZ.Z01.E,Q,IE,N,T,A10,K,4,U5,2271,ZZ,Z01,E
FVC.Q.IE.N.T.A20.A.1.U5.2240.E1.Z01.E,Q,IE,N,T,A20,A,1,U5,2240,E1,Z01,E
FVC.Q.U2.N.O.A30.A.1.U2.1000.ZZ.Z01.E,Q,U2,N,O,A30,A,1,U2,1000,ZZ,Z01,E
FVC.Q.IE.N.T.A20.A.I.A1.0000.E1.Z01.A,Q,IE,N,T,A20,A,I,A1,0000,E1,Z01,A
FVC.Q.IE.N.T.A30.A.1.U2.1000.ZZ.Z01.E,Q,IE,N,T,A30,A,1,U2,1000,ZZ,Z01,E
FVC.Q.IE.N.T.A40.A.1.A1.0000.00.Z01.E,Q,IE,N,T,A40,A,1,A1,0000,00,Z01,E
FVC.Q.IE.N.T.A50.A.1.U2.2271.ZZ.Z01.E,Q,IE,N,T,A50,A,1,U2,2271,ZZ,Z01,E
FVC.Q.IE.N.T.A50.A.4.U2.2271.ZZ.Z01.E,Q,IE,N,T,A50,A,4,U2,2271,ZZ,Z01,E
FVC.Q.IE.N.T.AT1.A.4.A1.0000.ZZ.Z01.E,Q,IE,N,T,AT1,A,4,A1,0000,ZZ,Z01,E
FVC.Q.IE.N.T.L40.L.1.A1.0000.ZZ.Z01.E,Q,IE,N,T,L40,L,1,A1,0000,ZZ,Z01,E
FVC.Q.IE.N.T.L60.A.4.A1.0000.ZZ.Z01.E,Q,IE,N,T,L60,A,4,A1,0000,ZZ,Z01,E
